"id","school_id","name","code"
1,NULL,"ATHLETIC","ATHLETIC"
2,NULL,"HORSE","HORSE"
3,NULL,"OUTDOOR","OUTDOOR"
4,NULL,"PHYSWELL","PHYSWELL"
5,NULL,"EARTHSYS","EARTHSYS"
6,NULL,"ENERGY","ENERGY"
7,NULL,"ENVRES","ENVRES"
8,NULL,"EBS","EBS"
9,NULL,"EPS","EPS"
10,NULL,"ESS","ESS"
11,NULL,"GEP","GEP"
12,NULL,"OCEANS","OCEANS"
13,NULL,"GEOPHYS","GEOPHYS"
14,NULL,"SUSTAIN","SUSTAIN"
15,NULL,"SUST","SUST"
16,NULL,"ACCT","ACCT"
17,NULL,"ALP","ALP"
18,NULL,"BUSGEN","BUSGEN"
19,NULL,"MGTECON","MGTECON"
20,NULL,"FINANCE","FINANCE"
21,NULL,"GSBGEN","GSBGEN"
22,NULL,"GSBGID","GSBGID"
23,NULL,"HRMGT","HRMGT"
24,NULL,"MKTG","MKTG"
25,NULL,"OIT","OIT"
26,NULL,"OB","OB"
27,NULL,"POLECON","POLECON"
28,NULL,"STRAMGT","STRAMGT"
29,NULL,"EDUC","EDUC"
30,NULL,"AA","AA"
31,NULL,"BIOE","BIOE"
32,NULL,"CHEMENG","CHEMENG"
33,NULL,"CEE","CEE"
34,NULL,"CME","CME"
35,NULL,"CS","CS"
36,NULL,"DESIGN","DESIGN"
37,NULL,"EE","EE"
38,NULL,"ENGR","ENGR"
39,NULL,"ANES","ANES"
40,NULL,"CHEM","CHEM"
41,NULL,"COMM","COMM"
42,NULL,"DATASCI","DATASCI"
43,NULL,"ECON","ECON"
44,NULL,"EMED","EMED"
45,NULL,"HRP","HRP"
46,NULL,"MATSCI","MATSCI"
47,NULL,"ME","ME"
48,NULL,"MS&E","MS&E"
49,NULL,"AFRICAAM","AFRICAAM"
50,NULL,"AMHRLANG","AMHRLANG"
51,NULL,"ASLLANG","ASLLANG"
52,NULL,"AMSTUD","AMSTUD"
53,NULL,"ANTHRO","ANTHRO"
54,NULL,"APPPHYS","APPPHYS"
55,NULL,"ARABLANG","ARABLANG"
56,NULL,"ARCHLGY","ARCHLGY"
57,NULL,"ARMELANG","ARMELANG"
58,NULL,"ARTHIST","ARTHIST"
59,NULL,"ARTSTUDI","ARTSTUDI"
60,NULL,"ARTSINST","ARTSINST"
61,NULL,"ASNAMST","ASNAMST"
62,NULL,"BIO","BIO"
63,NULL,"BIOPHYS","BIOPHYS"
64,NULL,"CATLANG","CATLANG"
65,NULL,"CHILATST","CHILATST"
66,NULL,"CHINA","CHINA"
67,NULL,"CHINLANG","CHINLANG"
68,NULL,"CLASSICS","CLASSICS"
69,NULL,"COMPLIT","COMPLIT"
70,NULL,"CSRE","CSRE"
71,NULL,"CZECLANG","CZECLANG"
72,NULL,"DANCE","DANCE"
73,NULL,"DLCL","DLCL"
74,NULL,"TAPS","TAPS"
75,NULL,"DUTCHLNG","DUTCHLNG"
76,NULL,"EALC","EALC"
77,NULL,"EASTASN","EASTASN"
78,NULL,"ENGLISH","ENGLISH"
79,NULL,"ESOLLANG","ESOLLANG"
80,NULL,"ETHICSOC","ETHICSOC"
81,NULL,"FEMGEN","FEMGEN"
82,NULL,"FILILANG","FILILANG"
83,NULL,"FILMEDIA","FILMEDIA"
84,NULL,"FILMPROD","FILMPROD"
85,NULL,"FRENLANG","FRENLANG"
86,NULL,"FRENCH","FRENCH"
87,NULL,"GERLANG","GERLANG"
88,NULL,"GERMAN","GERMAN"
89,NULL,"GLOBAL","GLOBAL"
90,NULL,"HAITLANG","HAITLANG"
91,NULL,"HAWALANG","HAWALANG"
92,NULL,"HEBRLANG","HEBRLANG"
93,NULL,"HINDLANG","HINDLANG"
94,NULL,"HISTORY","HISTORY"
95,NULL,"HPS","HPS"
96,NULL,"HNGRLANG","HNGRLANG"
97,NULL,"HUMBIO","HUMBIO"
98,NULL,"HUMRTS","HUMRTS"
99,NULL,"HUMSCI","HUMSCI"
100,NULL,"HUMCORE","HUMCORE"
101,NULL,"ILAC","ILAC"
102,NULL,"IGBOLANG","IGBOLANG"
103,NULL,"IIS","IIS"
104,NULL,"INTLPOL","INTLPOL"
105,NULL,"INTNLREL","INTNLREL"
106,NULL,"ITALLANG","ITALLANG"
107,NULL,"ITALIAN","ITALIAN"
108,NULL,"JAPAN","JAPAN"
109,NULL,"JAPANLNG","JAPANLNG"
110,NULL,"JEWISHST","JEWISHST"
111,NULL,"KHMRLANG","KHMRLANG"
112,NULL,"KORLANG","KORLANG"
113,NULL,"LAKOTLNG","LAKOTLNG"
114,NULL,"LATINAM","LATINAM"
115,NULL,"LINGUIST","LINGUIST"
116,NULL,"MLA","MLA"
117,NULL,"MCS","MCS"
118,NULL,"MATH","MATH"
119,NULL,"GREELANG","GREELANG"
120,NULL,"MTL","MTL"
121,NULL,"MUSIC","MUSIC"
122,NULL,"NAHUALNG","NAHUALNG"
123,NULL,"NATIVEAM","NATIVEAM"
124,NULL,"NVJOLANG","NVJOLANG"
125,NULL,"OROMLANG","OROMLANG"
126,NULL,"PERSLANG","PERSLANG"
127,NULL,"PHIL","PHIL"
128,NULL,"PHYSICS","PHYSICS"
129,NULL,"POLSHLNG","POLSHLNG"
130,NULL,"POLISCI","POLISCI"
131,NULL,"PORTLANG","PORTLANG"
132,NULL,"PSYCH","PSYCH"
133,NULL,"PUBLPOL","PUBLPOL"
134,NULL,"PUNJLANG","PUNJLANG"
135,NULL,"QUECHLNG","QUECHLNG"
136,NULL,"RELIGST","RELIGST"
137,NULL,"ROMALANG","ROMALANG"
138,NULL,"RUSSLANG","RUSSLANG"
139,NULL,"REES","REES"
140,NULL,"SNSKTLNG","SNSKTLNG"
141,NULL,"STS","STS"
142,NULL,"SLAVIC","SLAVIC"
143,NULL,"SOC","SOC"
144,NULL,"SPANLANG","SPANLANG"
145,NULL,"SIW","SIW"
146,NULL,"STATS","STATS"
147,NULL,"SWAHLANG","SWAHLANG"
148,NULL,"SYMSYS","SYMSYS"
149,NULL,"TAMILANG","TAMILANG"
150,NULL,"TIBETLNG","TIBETLNG"
151,NULL,"TIGRYLNG","TIGRYLNG"
152,NULL,"TURKLANG","TURKLANG"
153,NULL,"TWILANG","TWILANG"
154,NULL,"UKRNLANG","UKRNLANG"
155,NULL,"URBANST","URBANST"
156,NULL,"URDULANG","URDULANG"
157,NULL,"VIETLANG","VIETLANG"
158,NULL,"YDDSHLNG","YDDSHLNG"
159,NULL,"YORULANG","YORULANG"
160,NULL,"ZULULANG","ZULULANG"
161,NULL,"LAW","LAW"
162,NULL,"LAWGEN","LAWGEN"
163,NULL,"BIOC","BIOC"
164,NULL,"BIODS","BIODS"
165,NULL,"BIOMEDIN","BIOMEDIN"
166,NULL,"BMP","BMP"
167,NULL,"BIOS","BIOS"
168,NULL,"CBIO","CBIO"
169,NULL,"CTS","CTS"
170,NULL,"CSB","CSB"
171,NULL,"CHPR","CHPR"
172,NULL,"COMPMED","COMPMED"
173,NULL,"DERM","DERM"
174,NULL,"DBIO","DBIO"
175,NULL,"EPI","EPI"
176,NULL,"FAMMED","FAMMED"
177,NULL,"GENE","GENE"
178,NULL,"IMMUNOL","IMMUNOL"
179,NULL,"LEAD","LEAD"
180,NULL,"LIFE","LIFE"
181,NULL,"MED","MED"
182,NULL,"INDE","INDE"
183,NULL,"MI","MI"
184,NULL,"MCP","MCP"
185,NULL,"NBIO","NBIO"
186,NULL,"NENS","NENS"
187,NULL,"NEPR","NEPR"
188,NULL,"NSUR","NSUR"
189,NULL,"OBGYN","OBGYN"
190,NULL,"OPHT","OPHT"
191,NULL,"ORTHO","ORTHO"
192,NULL,"OTOHNS","OTOHNS"
193,NULL,"PATH","PATH"
194,NULL,"PEDS","PEDS"
195,NULL,"PAS","PAS"
196,NULL,"PSYC","PSYC"
197,NULL,"RADO","RADO"
198,NULL,"RAD","RAD"
199,NULL,"SOMGEN","SOMGEN"
200,NULL,"STEMREM","STEMREM"
201,NULL,"SBIO","SBIO"
202,NULL,"SURG","SURG"
203,NULL,"UROL","UROL"
204,NULL,"WELLNESS","WELLNESS"
205,NULL,"CTL","CTL"
206,NULL,"COLLEGE","COLLEGE"
207,NULL,"ITALIC","ITALIC"
